NWA 2465 - H4 - 2D (µm),NWA 2465 - H4 - 3D - µ-CT (µm),Saratov - L4 - 2D (µm),Saratov - L4 - 3D (µm),NWA 7545 - LL4 - 2D (µm),NWA 7545 - LL4 - 3D (µm),NWA 2465 - H4 - 3D (µm)
293,676,384,396,482,710,322
294,680,384,397,483,711,323
294,685,385,397,484,712,323
295,689,385,398,484,713,324
297,695,386,399,485,714,324
297,698,387,399,486,718,324
298,706,387,399,487,720,324
299,713,388,400,487,723,325
299,714,388,401,488,724,325
299,717,389,401,489,725,328
300,717,390,402,492,726,328
300,721,391,403,493,726,328
300,734,391,405,493,734,328
302,737,392,407,495,734,329
302,737,392,407,495,734,329
303,743,393,408,495,736,330
303,745,393,408,495,736,330
305,763,395,408,495,739,331
305,775,395,408,495,740,332
306,784,395,408,497,741,336
307,785,397,409,498,742,336
307,786,398,410,499,747,339
307,792,399,410,499,747,339
307,799,400,410,500,749,340
309,822,401,411,500,749,340
309,834,402,413,501,752,342
309,836,403,413,501,756,342
309,859,409,413,502,758,342
309,890,409,414,502,759,342
309,904,410,415,503,760,343
309,923,410,415,504,764,343
310,936,411,416,505,764,343
310,942,412,417,505,766,343
310,964,412,417,506,769,346
311,978,412,419,507,771,346
312,1009,412,419,507,771,346
312,1021,413,421,507,777,347
313,1184,414,423,508,777,347
314,1186,415,423,509,777,348
314,1213,416,424,509,779,348
314,1461,420,424,510,781,349
314,1672,420,425,510,782,349
314,2173,421,425,511,782,349
314,,422,425,511,782,349
314,,425,425,511,783,349
315,,428,425,512,783,349
315,,429,426,515,785,352
315,,430,426,515,788,353
315,,430,426,516,790,353
315,,431,426,516,795,354
317,,432,427,518,797,354
318,,433,427,518,799,356
318,,434,427,518,800,356
319,,436,427,518,802,356
319,,438,427,518,808,357
320,,438,429,519,812,357
320,,439,429,519,813,358
320,,441,430,519,813,358
320,,441,430,520,814,359
320,,443,430,522,815,360
320,,444,431,523,816,361
321,,444,431,525,818,361
321,,445,431,525,818,362
321,,446,432,526,818,362
321,,447,436,530,819,362
322,,448,437,530,824,362
323,,452,439,530,825,363
323,,453,440,533,825,363
323,,453,440,535,828,365
323,,454,440,538,828,365
324,,455,442,540,830,366
324,,456,442,541,831,366
324,,456,442,541,833,366
324,,456,443,543,833,366
324,,458,443,544,834,366
324,,461,443,547,837,368
326,,461,444,548,838,368
327,,461,444,550,840,368
327,,461,445,551,841,368
327,,461,446,551,845,371
328,,462,447,551,847,371
328,,463,447,552,848,372
329,,464,447,552,852,372
329,,466,448,554,854,373
330,,466,448,556,854,373
330,,467,449,556,858,374
330,,467,449,557,860,374
332,,468,449,560,863,374
332,,473,449,561,863,375
332,,473,449,561,864,375
333,,474,450,562,866,375
333,,474,450,562,868,376
334,,474,452,565,869,377
334,,475,453,565,881,377
335,,475,454,565,882,378
335,,476,455,565,882,378
336,,477,455,566,884,378
336,,478,456,567,894,379
336,,480,456,567,903,380
337,,480,456,567,905,381
337,,483,456,570,906,381
338,,483,457,571,909,383
338,,483,457,571,910,383
338,,485,458,571,912,383
339,,486,458,574,913,383
339,,487,460,575,914,384
340,,488,460,575,917,385
340,,489,461,575,922,385
340,,491,461,575,927,387
340,,491,463,576,932,387
341,,492,464,576,932,388
341,,494,464,579,934,388
341,,496,465,581,937,388
342,,496,466,583,941,388
342,,496,466,584,942,390
343,,497,466,585,947,392
344,,497,466,585,949,393
344,,498,466,586,951,393
344,,499,467,588,954,394
344,,499,468,589,956,395
344,,499,469,591,962,395
345,,500,471,591,968,396
345,,501,472,591,977,397
345,,504,473,592,980,398
345,,504,474,594,981,399
346,,504,474,597,981,399
346,,506,474,597,988,400
347,,510,476,597,989,400
348,,511,476,599,993,400
348,,511,477,599,995,401
348,,514,477,602,1003,401
349,,515,478,603,1005,402
349,,515,478,603,1005,404
349,,517,478,605,1011,405
349,,518,480,605,1015,405
349,,518,480,609,1019,406
349,,520,480,610,1023,406
350,,521,480,611,1026,408
350,,522,481,613,1034,409
350,,522,481,613,1038,409
351,,523,482,615,1040,409
351,,525,483,615,1045,409
351,,526,485,618,1050,410
352,,527,485,620,1050,413
353,,529,485,620,1051,413
353,,530,486,620,1052,414
353,,531,486,621,1059,414
354,,531,487,622,1060,414
